1,NULL,3,Dgt01,Jl. Digital No. 01,1010440023    ,232010533343    ,-1.251590837,116.8633961,NULL,1.jpg,,NULL,NULL
2,NULL,3,Dgt02,Jl. Digital No. 02,1010440034    ,232010533335    ,-1.251708826,116.8636,NULL,2.jpg,NULL,NULL,NULL
3,NULL,3,Dgt03,Jl. Digital No. 03,1010440027    ,232010533350    ,-1.251387038,116.8635248,NULL,3.jpg,NULL,NULL,NULL
4,NULL,3,Dgt04,Jl. Digital No. 04,1010440028    ,232010533351    ,-1.25152648,116.8637073,NULL,4.jpg,NULL,NULL,NULL
5,NULL,3,Dgt05,Jl. Digital No. 05,1010440029    ,232010533368    ,-1.251242233,116.8636322,NULL,5.jpg,NULL,NULL,NULL
6,NULL,3,Dgt06,Jl. Digital No. 06,1010440030    ,232010533319    ,-1.251387038,116.8638039,NULL,6.jpg,NULL,NULL,NULL
7,NULL,3,Dgt07,Jl. Digital No. 07,1010440031    ,232010533376    ,-1.251118881,116.8637502,NULL,7.jpg,NULL,NULL,NULL
8,NULL,3,Dgt08,Jl. Digital No. 08,1010440032    ,232010533301    ,-1.25125296,116.8639272,NULL,8.jpg,NULL,NULL,NULL
9,NULL,3,Dgt09,Jl. Digital No. 09,1010440033    ,232010533302    ,-1.250952624,116.8638468,NULL,9.jpg,NULL,NULL,NULL
10,NULL,3,Dgt10,Jl. Digital No. 10 ,1010440034    ,232010533297    ,-1.251059887,116.8640292,NULL,10.jpg,NULL,NULL,NULL
11,NULL,3,Dgt11,Jl. Digital No. 11,1010440035    ,232010533392    ,-1.250786367,116.8639595,NULL,11.jpg,NULL,NULL,NULL
12,NULL,3,Dgt12,Jl. Digital No. 12,1010440036    ,232010533214    ,-1.250941898,116.8641312,NULL,12.jpg,NULL,NULL,NULL
13,NULL,3,Dgt13,Jl. Digital No. 13,1010440036    ,232010533214    ,-1.250641562,116.8640722,NULL,13.jpg,NULL,NULL,NULL
14,NULL,3,Dgt14,Jl. Digital No. 14,1010440038    ,232010533206    ,-1.250781003,116.8642492,NULL,14.jpg,NULL,NULL,NULL
15,NULL,4,Fax01,Jl. Faximile No. 01,1010440039    ,232010534571    ,-1.250770277,116.8628973,NULL,15.jpg,NULL,NULL,NULL
16,NULL,4,Fax02,Jl. Faximile No. 02,1010440040    ,232010534548    ,-1.250984803,116.8630312,NULL,16.jpg,NULL,NULL,NULL
17,NULL,4,Fax03,Jl. Faximile No. 03,1010440041    ,232010534563    ,-1.250673741,116.8629775,NULL,17.jpg,NULL,NULL,NULL
18,NULL,4,Fax04,Jl. Faximile No. 04,1010440042    ,232010534555    ,-1.250888266,116.8631009,NULL,18.jpg,NULL,NULL,NULL
19,NULL,4,Fax05,Jl. Faximile No. 05,1010440043    ,232010534597    ,-1.250561115,116.8630473,NULL,19.jpg,NULL,NULL,NULL
20,NULL,4,Fax06,Jl. Faximile No. 06,1010440044    ,232010534522    ,-1.250807819,116.8631546,NULL,20.jpg,NULL,NULL,NULL
21,NULL,4,Fax07,Jl. Faximile No. 07,1010440045    ,232010534589    ,-1.250480668,116.8631224,NULL,21.jpg,NULL,NULL,NULL
22,NULL,4,Fax08,Jl. Faximile No. 08,1010440046    ,232010534530    ,-1.250716646,116.8632297,NULL,22.jpg,NULL,NULL,NULL
23,NULL,4,Fax09,Jl. Faximile No. 09,1010440047    ,232010534610    ,-1.250368042,116.8632083,NULL,23.jpg,NULL,NULL,NULL
24,NULL,4,Fax10,Jl. Faximile No. 10,1010440048    ,232010534506    ,-1.250630836,116.8632995,NULL,24.jpg,NULL,NULL,NULL
25,NULL,4,Fax11,Jl. Faximile No. 11,1010440049    ,232010534602    ,-1.250292958,116.8632512,NULL,25.jpg,NULL,NULL,NULL
26,NULL,4,Fax12,Jl. Faximile No. 12,1010440050    ,232010534514    ,-1.250550388,116.8633585,NULL,26.jpg,NULL,NULL,NULL
27,NULL,4,Fax13,Jl. Faximile No. 13,1010440051    ,232010534636    ,-1.250174969,116.8633639,NULL,27.jpg,NULL,NULL,NULL
28,NULL,4,Fax14,Jl. Faximile No. 14,1010440052    ,232010534484    ,-1.250427036,116.8634337,NULL,28.jpg,NULL,NULL,NULL
29,NULL,4,Fax15,Jl. Faximile No. 15,1010440053    ,232010534628    ,-1.250083795,116.8634229,NULL,29.jpg,NULL,NULL,NULL
30,NULL,4,Fax16,Jl. Faximile No. 16,1010440054    ,232010534492    ,-1.250346589,116.8635034,NULL,30.jpg,NULL,NULL,NULL
31,NULL,4,Fax18,Jl. Faximile No. 18,1010440055    ,232002107464    ,-1.250244689,116.8635785,NULL,31.jpg,NULL,NULL,NULL
32,NULL,4,Fax20,Jl. Faximile No. 20,1010440056    ,232010534476    ,-1.250185695,116.8636536,NULL,32.jpg,NULL,NULL,NULL
33,NULL,4,Fax22,Jl. Faximile No. 22,1010440057    ,232010534443    ,-1.250078432,116.8637288,NULL,33.jpg,NULL,NULL,NULL
34,NULL,4,Fax24,Jl. Faximile No. 24,1010440058    ,232010534450    ,-1.250003348,116.8637824,NULL,34.jpg,NULL,NULL,NULL
35,NULL,4,Fax26,Jl. Faximile No. 26,1010440059    ,232010534451    ,-1.249906812,116.8638683,NULL,35.jpg,NULL,NULL,NULL
36,NULL,4,Fax28,Jl. Faximile No. 28,1010440060    ,232010534161    ,-1.249804912,116.8639273,NULL,36.jpg,NULL,NULL,NULL
37,NULL,4,Mor01,Jl. Morse No. 01,1010440061    ,232010534104    ,-1.248646473,116.8633209,NULL,37.jpg,NULL,NULL,NULL
